video_path,corruption_type
BaseballPitch/v_BaseballPitch_g01_c01.avi,rain
BaseballPitch/v_BaseballPitch_g01_c02.avi,pepper
BaseballPitch/v_BaseballPitch_g01_c03.avi,gauss
BaseballPitch/v_BaseballPitch_g01_c04.avi,h265_abr
BaseballPitch/v_BaseballPitch_g01_c05.avi,zoom
BaseballPitch/v_BaseballPitch_g01_c06.avi,shot
BaseballPitch/v_BaseballPitch_g02_c01.avi,shot
BaseballPitch/v_BaseballPitch_g02_c02.avi,salt
BaseballPitch/v_BaseballPitch_g02_c03.avi,h265_abr
BaseballPitch/v_BaseballPitch_g02_c04.avi,pepper
BaseballPitch/v_BaseballPitch_g03_c01.avi,rain
BaseballPitch/v_BaseballPitch_g03_c02.avi,h265_abr
BaseballPitch/v_BaseballPitch_g03_c03.avi,jpeg
BaseballPitch/v_BaseballPitch_g03_c04.avi,pepper
BaseballPitch/v_BaseballPitch_g03_c05.avi,contrast
BaseballPitch/v_BaseballPitch_g03_c06.avi,defocus
BaseballPitch/v_BaseballPitch_g03_c07.avi,gauss
BaseballPitch/v_BaseballPitch_g04_c01.avi,gauss
BaseballPitch/v_BaseballPitch_g04_c02.avi,pepper
BaseballPitch/v_BaseballPitch_g04_c03.avi,shot
BaseballPitch/v_BaseballPitch_g04_c04.avi,shot
BaseballPitch/v_BaseballPitch_g04_c05.avi,jpeg
BaseballPitch/v_BaseballPitch_g05_c01.avi,contrast
BaseballPitch/v_BaseballPitch_g05_c02.avi,gauss
BaseballPitch/v_BaseballPitch_g05_c03.avi,jpeg
BaseballPitch/v_BaseballPitch_g05_c04.avi,shot
BaseballPitch/v_BaseballPitch_g05_c05.avi,h265_abr
BaseballPitch/v_BaseballPitch_g05_c06.avi,rain
BaseballPitch/v_BaseballPitch_g05_c07.avi,h265_abr
BaseballPitch/v_BaseballPitch_g06_c01.avi,jpeg
BaseballPitch/v_BaseballPitch_g06_c02.avi,defocus
BaseballPitch/v_BaseballPitch_g06_c03.avi,shot
BaseballPitch/v_BaseballPitch_g06_c04.avi,motion
BaseballPitch/v_BaseballPitch_g06_c05.avi,contrast
BaseballPitch/v_BaseballPitch_g06_c06.avi,zoom
BaseballPitch/v_BaseballPitch_g06_c07.avi,gauss
BaseballPitch/v_BaseballPitch_g07_c01.avi,salt
BaseballPitch/v_BaseballPitch_g07_c02.avi,h265_abr
BaseballPitch/v_BaseballPitch_g07_c03.avi,defocus
BaseballPitch/v_BaseballPitch_g07_c04.avi,impulse
BaseballPitch/v_BaseballPitch_g07_c05.avi,zoom
BaseballPitch/v_BaseballPitch_g07_c06.avi,salt
BaseballPitch/v_BaseballPitch_g07_c07.avi,shot
BaseballPitch/v_BaseballPitch_g08_c01.avi,impulse
BaseballPitch/v_BaseballPitch_g08_c02.avi,pepper
BaseballPitch/v_BaseballPitch_g08_c03.avi,pepper
BaseballPitch/v_BaseballPitch_g08_c04.avi,defocus
BaseballPitch/v_BaseballPitch_g08_c05.avi,pepper
BaseballPitch/v_BaseballPitch_g08_c06.avi,impulse
BaseballPitch/v_BaseballPitch_g08_c07.avi,impulse
BaseballPitch/v_BaseballPitch_g09_c01.avi,contrast
BaseballPitch/v_BaseballPitch_g09_c02.avi,zoom
BaseballPitch/v_BaseballPitch_g09_c03.avi,gauss
BaseballPitch/v_BaseballPitch_g09_c04.avi,h265_abr
BaseballPitch/v_BaseballPitch_g09_c05.avi,motion
BaseballPitch/v_BaseballPitch_g09_c06.avi,jpeg
BaseballPitch/v_BaseballPitch_g09_c07.avi,pepper
BaseballPitch/v_BaseballPitch_g10_c01.avi,defocus
BaseballPitch/v_BaseballPitch_g10_c02.avi,pepper
BaseballPitch/v_BaseballPitch_g10_c03.avi,jpeg
BaseballPitch/v_BaseballPitch_g10_c04.avi,zoom
BaseballPitch/v_BaseballPitch_g10_c05.avi,rain
BaseballPitch/v_BaseballPitch_g11_c01.avi,contrast
BaseballPitch/v_BaseballPitch_g11_c02.avi,impulse
BaseballPitch/v_BaseballPitch_g11_c03.avi,contrast
BaseballPitch/v_BaseballPitch_g11_c04.avi,shot
BaseballPitch/v_BaseballPitch_g11_c05.avi,h265_abr
BaseballPitch/v_BaseballPitch_g12_c01.avi,pepper
BaseballPitch/v_BaseballPitch_g12_c02.avi,gauss
BaseballPitch/v_BaseballPitch_g12_c03.avi,rain
BaseballPitch/v_BaseballPitch_g12_c04.avi,shot
BaseballPitch/v_BaseballPitch_g13_c01.avi,zoom
BaseballPitch/v_BaseballPitch_g13_c02.avi,pepper
BaseballPitch/v_BaseballPitch_g13_c03.avi,shot
BaseballPitch/v_BaseballPitch_g13_c04.avi,pepper
BaseballPitch/v_BaseballPitch_g13_c05.avi,defocus
BaseballPitch/v_BaseballPitch_g13_c06.avi,zoom
BaseballPitch/v_BaseballPitch_g13_c07.avi,motion
BaseballPitch/v_BaseballPitch_g14_c01.avi,rain
BaseballPitch/v_BaseballPitch_g14_c02.avi,impulse
BaseballPitch/v_BaseballPitch_g14_c03.avi,salt
BaseballPitch/v_BaseballPitch_g14_c04.avi,impulse
BaseballPitch/v_BaseballPitch_g15_c01.avi,impulse
BaseballPitch/v_BaseballPitch_g15_c02.avi,shot
BaseballPitch/v_BaseballPitch_g15_c03.avi,rain
BaseballPitch/v_BaseballPitch_g15_c04.avi,zoom
BaseballPitch/v_BaseballPitch_g15_c05.avi,h265_abr
BaseballPitch/v_BaseballPitch_g15_c06.avi,rain
BaseballPitch/v_BaseballPitch_g15_c07.avi,rain
BaseballPitch/v_BaseballPitch_g16_c01.avi,pepper
BaseballPitch/v_BaseballPitch_g16_c02.avi,contrast
BaseballPitch/v_BaseballPitch_g16_c03.avi,rain
BaseballPitch/v_BaseballPitch_g16_c04.avi,salt
BaseballPitch/v_BaseballPitch_g16_c05.avi,jpeg
BaseballPitch/v_BaseballPitch_g16_c06.avi,h265_abr
BaseballPitch/v_BaseballPitch_g17_c01.avi,shot
BaseballPitch/v_BaseballPitch_g17_c02.avi,salt
BaseballPitch/v_BaseballPitch_g17_c03.avi,motion
BaseballPitch/v_BaseballPitch_g17_c04.avi,defocus
BaseballPitch/v_BaseballPitch_g17_c05.avi,zoom
BaseballPitch/v_BaseballPitch_g17_c06.avi,rain
BaseballPitch/v_BaseballPitch_g17_c07.avi,h265_abr
BaseballPitch/v_BaseballPitch_g18_c01.avi,jpeg
BaseballPitch/v_BaseballPitch_g18_c02.avi,shot
BaseballPitch/v_BaseballPitch_g18_c03.avi,rain
BaseballPitch/v_BaseballPitch_g18_c04.avi,impulse
BaseballPitch/v_BaseballPitch_g18_c05.avi,gauss
